Observation_$0_0,decoy_$1__0
Observation_$0_1,decoy_$1__1
Observation_$0_2,decoy_$1__2
Observation_$0_3,decoy_$1__3
Observation_$0_4,decoy_$1__4
Observation_$0_5,decoy_$1__5
Observation_$0_6,decoy_$1__6
Observation_$0_7,decoy_$1__7
Observation_$0_8,decoy_$1__8
Observation_$0_9,decoy_$1__9
Observation_$0_10,decoy_$1__10
Observation_$0_11,decoy_$1__11
Observation_$0_12,decoy_$1__12
Observation_$0_13,decoy_$1__13
Observation_$0_14,decoy_$1__14
Observation_$0_15,decoy_$1__15
Observation_$0_16,decoy_$1__16
Observation_$0_17,decoy_$1__17
Observation_$0_18,decoy_$1__18
Observation_$0_19,decoy_$1__19
Observation_$0_20,decoy_$1__20
Observation_$0_21,decoy_$1__21
Observation_$0_22,decoy_$1__22
Observation_$0_23,decoy_$1__23
Observation_$0_24,decoy_$1__24
Observation_$0_25,decoy_$1__25
Observation_$0_26,decoy_$1__26
Observation_$0_27,decoy_$1__27
Observation_$0_28,decoy_$1__28
Observation_$0_29,decoy_$1__29
Observation_$0_30,decoy_$1__30
Observation_$0_31,decoy_$1__31
Observation_$0_32,decoy_$1__32
Observation_$0_33,decoy_$1__33
Observation_$0_34,decoy_$1__34
Observation_$0_35,decoy_$1__35
Observation_$0_36,decoy_$1__36
Observation_$0_37,decoy_$1__37
Observation_$0_38,decoy_$1__38
Observation_$0_39,decoy_$1__39
Observation_$0_40,decoy_$1__40
Observation_$0_41,decoy_$1__41
Observation_$0_42,decoy_$1__42
Observation_$0_43,decoy_$1__43
Observation_$0_44,decoy_$1__44
Observation_$0_45,decoy_$1__45
Observation_$0_46,decoy_$1__46
Observation_$0_47,decoy_$1__47
Observation_$0_48,decoy_$1__48
Observation_$0_49,decoy_$1__49
Observation_$0_50,decoy_$1__50
Observation_$0_51,decoy_$1__51
Observation_$0_52,decoy_$1__52
Observation_$0_53,decoy_$1__53
Observation_$0_54,decoy_$1__54
Observation_$0_55,decoy_$1__55
Observation_$0_56,decoy_$1__56
Observation_$0_57,decoy_$1__57
Observation_$0_58,decoy_$1__58
Observation_$0_59,decoy_$1__59
Observation_$0_60,decoy_$1__60
Observation_$0_61,decoy_$1__61
Observation_$0_62,decoy_$1__62
Observation_$0_63,decoy_$1__63
Observation_$0_64,decoy_$1__64
Observation_$0_65,decoy_$1__65
Observation_$0_66,decoy_$1__66
Observation_$0_67,decoy_$1__67
Observation_$0_68,decoy_$1__68
Observation_$0_69,decoy_$1__69
Observation_$0_70,decoy_$1__70
Observation_$0_71,decoy_$1__71
Observation_$0_72,decoy_$1__72
Observation_$0_73,decoy_$1__73
Observation_$0_74,decoy_$1__74
Observation_$0_75,decoy_$1__75
Observation_$0_76,decoy_$1__76
Observation_$0_77,decoy_$1__77
Observation_$0_78,decoy_$1__78
Observation_$0_79,decoy_$1__79
Observation_$0_80,decoy_$1__80
Observation_$0_81,decoy_$1__81
Observation_$0_82,decoy_$1__82
Observation_$0_83,decoy_$1__83
Observation_$0_84,decoy_$1__84
