Observation_$0_0,Observation_$1_0
Observation_$1_1,decoy_$0_0_0
Observation_$1_2,decoy_$0_0_1
Observation_$1_3,decoy_$0_0_2
Observation_$1_4,decoy_$0_0_3
Observation_$1_5,decoy_$0_0_4
Observation_$1_6,decoy_$0_0_5
Observation_$1_7,decoy_$0_0_6
Observation_$1_8,decoy_$0_0_7
Observation_$1_9,decoy_$0_0_8
Observation_$1_10,decoy_$0_0_9
Observation_$1_11,decoy_$0_0_10
Observation_$1_12,decoy_$0_0_11
Observation_$1_13,decoy_$0_0_12
Observation_$1_14,decoy_$0_0_13
Observation_$1_15,decoy_$0_0_14
Observation_$1_16,decoy_$0_0_15
Observation_$1_17,decoy_$0_0_16
Observation_$1_18,decoy_$0_0_17
Observation_$1_19,decoy_$0_0_18
Observation_$1_20,decoy_$0_0_19
Observation_$1_21,decoy_$0_0_20
Observation_$1_22,decoy_$0_0_21
Observation_$1_23,decoy_$0_0_22
Observation_$1_24,decoy_$0_0_23
Observation_$1_25,decoy_$0_0_24
Observation_$1_26,decoy_$0_0_25
Observation_$1_27,decoy_$0_0_26
Observation_$1_28,decoy_$0_0_27
Observation_$1_29,decoy_$0_0_28
Observation_$1_30,decoy_$0_0_29
Observation_$1_31,decoy_$0_0_30
Observation_$1_32,decoy_$0_0_31
Observation_$1_33,decoy_$0_0_32
Observation_$1_34,decoy_$0_0_33
Observation_$1_35,decoy_$0_0_34
Observation_$1_36,decoy_$0_0_35
Observation_$1_37,decoy_$0_0_36
Observation_$1_38,decoy_$0_0_37
Observation_$1_39,decoy_$0_0_38
Observation_$1_40,decoy_$0_0_39
Observation_$1_41,decoy_$0_0_40
Observation_$1_42,decoy_$0_0_41
Observation_$1_43,decoy_$0_0_42
Observation_$1_44,decoy_$0_0_43
Observation_$1_45,decoy_$0_0_44
Observation_$1_46,decoy_$0_0_45
Observation_$1_47,decoy_$0_0_46
Observation_$1_48,decoy_$0_0_47
Observation_$1_49,decoy_$0_0_48
Observation_$1_50,decoy_$0_0_49
Observation_$1_51,decoy_$0_0_50
Observation_$1_52,decoy_$0_0_51
Observation_$1_53,decoy_$0_0_52
Observation_$1_54,decoy_$0_0_53
Observation_$1_55,decoy_$0_0_54
Observation_$1_56,decoy_$0_0_55
Observation_$1_57,decoy_$0_0_56
Observation_$1_58,decoy_$0_0_57
Observation_$1_59,decoy_$0_0_58
Observation_$1_60,decoy_$0_0_59
Observation_$1_61,decoy_$0_0_60
Observation_$1_62,decoy_$0_0_61
Observation_$0_1,Observation_$1_63
Observation_$0_2,decoy_$1_63_0
Observation_$0_3,decoy_$1_63_1
Observation_$0_4,decoy_$1_63_2
Observation_$0_5,decoy_$1_63_3
Observation_$0_6,decoy_$1_63_4
Observation_$0_7,decoy_$1_63_5
Observation_$0_8,decoy_$1_63_6
Observation_$0_9,decoy_$1_63_7
Observation_$0_10,decoy_$1_63_8
Observation_$0_11,decoy_$1_63_9
Observation_$0_12,decoy_$1_63_10
Observation_$0_13,decoy_$1_63_11
Observation_$0_14,decoy_$1_63_12
Observation_$0_15,decoy_$1_63_13
Observation_$0_16,decoy_$1_63_14
Observation_$0_17,decoy_$1_63_15
Observation_$0_18,decoy_$1_63_16
Observation_$0_19,decoy_$1_63_17
Observation_$0_20,decoy_$1_63_18
Observation_$0_21,decoy_$1_63_19
Observation_$0_22,decoy_$1_63_20
Observation_$0_23,decoy_$1_63_21
Observation_$0_24,decoy_$1_63_22
Observation_$0_25,decoy_$1_63_23
Observation_$0_26,decoy_$1_63_24
Observation_$0_27,decoy_$1_63_25
Observation_$0_28,decoy_$1_63_26
Observation_$0_29,decoy_$1_63_27
Observation_$0_30,decoy_$1_63_28
Observation_$0_31,decoy_$1_63_29
Observation_$0_32,decoy_$1_63_30
Observation_$0_33,decoy_$1_63_31
Observation_$0_34,decoy_$1_63_32
Observation_$0_35,decoy_$1_63_33
Observation_$0_36,decoy_$1_63_34
Observation_$0_37,decoy_$1_63_35
Observation_$0_38,decoy_$1_63_36
Observation_$0_39,decoy_$1_63_37
Observation_$0_40,decoy_$1_63_38
Observation_$0_41,decoy_$1_63_39
Observation_$0_42,decoy_$1_63_40
Observation_$0_43,decoy_$1_63_41
Observation_$0_44,decoy_$1_63_42
Observation_$0_45,decoy_$1_63_43
Observation_$0_46,decoy_$1_63_44
Observation_$0_47,decoy_$1_63_45
Observation_$0_48,decoy_$1_63_46
Observation_$0_49,decoy_$1_63_47
Observation_$0_50,decoy_$1_63_48
Observation_$0_51,decoy_$1_63_49
Observation_$0_52,decoy_$1_63_50
Observation_$0_53,decoy_$1_63_51
Observation_$0_54,decoy_$1_63_52
Observation_$0_55,decoy_$1_63_53
Observation_$0_56,decoy_$1_63_54
Observation_$0_57,decoy_$1_63_55
Observation_$0_58,decoy_$1_63_56
Observation_$0_59,decoy_$1_63_57
Observation_$0_60,decoy_$1_63_58
Observation_$0_61,decoy_$1_63_59
Observation_$0_62,decoy_$1_63_60
Observation_$0_63,decoy_$1_63_61
