Observation_$0_0,Observation_$1_0
Observation_$0_1,decoy_$1_0_0
Observation_$0_2,decoy_$1_0_1
Observation_$0_3,decoy_$1_0_2
Observation_$0_4,decoy_$1_0_3
Observation_$0_5,decoy_$1_0_4
Observation_$0_6,decoy_$1_0_5
Observation_$0_7,decoy_$1_0_6
Observation_$0_8,decoy_$1_0_7
Observation_$0_9,decoy_$1_0_8
Observation_$0_10,decoy_$1_0_9
Observation_$0_11,decoy_$1_0_10
Observation_$0_12,decoy_$1_0_11
Observation_$0_13,decoy_$1_0_12
Observation_$0_14,decoy_$1_0_13
Observation_$0_15,decoy_$1_0_14
Observation_$0_16,decoy_$1_0_15
Observation_$0_17,decoy_$1_0_16
Observation_$0_18,decoy_$1_0_17
Observation_$0_19,decoy_$1_0_18
Observation_$0_20,decoy_$1_0_19
Observation_$0_21,decoy_$1_0_20
Observation_$0_22,decoy_$1_0_21
Observation_$0_23,decoy_$1_0_22
Observation_$0_24,decoy_$1_0_23
Observation_$0_25,decoy_$1_0_24
Observation_$0_26,decoy_$1_0_25
Observation_$0_27,decoy_$1_0_26
Observation_$0_28,decoy_$1_0_27
Observation_$0_29,decoy_$1_0_28
Observation_$0_30,decoy_$1_0_29
Observation_$0_31,decoy_$1_0_30
Observation_$0_32,decoy_$1_0_31
Observation_$0_33,decoy_$1_0_32
Observation_$0_34,decoy_$1_0_33
Observation_$0_35,decoy_$1_0_34
Observation_$0_36,decoy_$1_0_35
Observation_$0_37,decoy_$1_0_36
Observation_$0_38,decoy_$1_0_37
Observation_$0_39,decoy_$1_0_38
Observation_$0_40,decoy_$1_0_39
Observation_$0_41,decoy_$1_0_40
Observation_$0_42,decoy_$1_0_41
Observation_$0_43,decoy_$1_0_42
Observation_$0_44,decoy_$1_0_43
Observation_$0_45,decoy_$1_0_44
Observation_$0_46,decoy_$1_0_45
Observation_$0_47,decoy_$1_0_46
Observation_$0_48,decoy_$1_0_47
Observation_$0_49,decoy_$1_0_48
Observation_$0_50,decoy_$1_0_49
Observation_$0_51,decoy_$1_0_50
Observation_$0_52,decoy_$1_0_51
Observation_$0_53,decoy_$1_0_52
Observation_$0_54,decoy_$1_0_53
Observation_$0_55,decoy_$1_0_54
Observation_$0_56,decoy_$1_0_55
Observation_$0_57,decoy_$1_0_56
Observation_$0_58,decoy_$1_0_57
Observation_$0_59,decoy_$1_0_58
Observation_$0_60,decoy_$1_0_59
Observation_$0_61,decoy_$1_0_60
Observation_$0_62,decoy_$1_0_61
Observation_$0_63,decoy_$1_0_62
