Observation_$0_0,decoy_$1__0
Observation_$0_1,decoy_$1__1
Observation_$2_2,decoy_$3__0
Observation_$2_3,decoy_$3__1
Observation_$4_4,decoy_$5__0
Observation_$4_5,decoy_$5__1
Observation_$6_6,decoy_$7__0
Observation_$6_7,decoy_$7__1
Observation_$8_8,decoy_$9__0
Observation_$8_9,decoy_$9__1
Observation_$10_10,decoy_$11__0
Observation_$10_11,decoy_$11__1
Observation_$12_12,decoy_$13__0
Observation_$12_13,decoy_$13__1
Observation_$14_14,decoy_$15__0
Observation_$14_15,decoy_$15__1
Observation_$16_16,decoy_$17__0
Observation_$16_17,decoy_$17__1
Observation_$18_18,decoy_$19__0
Observation_$18_19,decoy_$19__1
Observation_$20_20,decoy_$21__0
Observation_$20_21,decoy_$21__1
Observation_$22_22,decoy_$23__0
Observation_$22_23,decoy_$23__1
Observation_$24_24,decoy_$25__0
Observation_$24_25,decoy_$25__1
Observation_$26_26,decoy_$27__0
Observation_$26_27,decoy_$27__1
Observation_$28_28,decoy_$29__0
Observation_$28_29,decoy_$29__1
Observation_$30_30,decoy_$31__0
Observation_$30_31,decoy_$31__1
Observation_$32_32,decoy_$33__0
Observation_$32_33,decoy_$33__1
Observation_$34_34,decoy_$35__0
Observation_$34_35,decoy_$35__1
Observation_$36_36,decoy_$37__0
Observation_$36_37,decoy_$37__1
Observation_$38_38,decoy_$39__0
Observation_$38_39,decoy_$39__1
Observation_$40_40,decoy_$41__0
Observation_$40_41,decoy_$41__1
Observation_$42_42,decoy_$43__0
Observation_$42_43,decoy_$43__1
Observation_$44_44,decoy_$45__0
Observation_$44_45,decoy_$45__1
Observation_$46_46,decoy_$47__0
Observation_$46_47,decoy_$47__1
Observation_$48_48,decoy_$49__0
Observation_$48_49,decoy_$49__1
Observation_$50_50,decoy_$51__0
Observation_$50_51,decoy_$51__1
Observation_$52_52,decoy_$53__0
Observation_$52_53,decoy_$53__1
Observation_$54_54,decoy_$55__0
Observation_$54_55,decoy_$55__1
Observation_$56_56,decoy_$57__0
Observation_$56_57,decoy_$57__1
Observation_$58_58,decoy_$59__0
Observation_$58_59,decoy_$59__1
Observation_$60_60,decoy_$61__0
Observation_$60_61,decoy_$61__1
Observation_$62_62,decoy_$63__0
Observation_$62_63,decoy_$63__1
Observation_$64_64,decoy_$65__0
Observation_$64_65,decoy_$65__1
Observation_$66_66,decoy_$67__0
Observation_$66_67,decoy_$67__1
Observation_$68_68,decoy_$69__0
Observation_$68_69,decoy_$69__1
Observation_$70_70,decoy_$71__0
Observation_$70_71,decoy_$71__1
Observation_$72_72,decoy_$73__0
Observation_$72_73,decoy_$73__1
Observation_$74_74,decoy_$75__0
Observation_$74_75,decoy_$75__1
Observation_$76_76,decoy_$77__0
Observation_$76_77,decoy_$77__1
Observation_$78_78,decoy_$79__0
Observation_$78_79,decoy_$79__1
Observation_$80_80,decoy_$81__0
Observation_$80_81,decoy_$81__1
Observation_$82_82,decoy_$83__0
Observation_$82_83,decoy_$83__1
Observation_$84_84,decoy_$85__0
Observation_$84_85,decoy_$85__1
Observation_$86_86,decoy_$87__0
Observation_$86_87,decoy_$87__1
Observation_$88_88,decoy_$89__0
Observation_$88_89,decoy_$89__1
Observation_$90_90,decoy_$91__0
Observation_$90_91,decoy_$91__1
Observation_$92_92,decoy_$93__0
Observation_$92_93,decoy_$93__1
Observation_$94_94,decoy_$95__0
Observation_$94_95,decoy_$95__1
Observation_$96_96,decoy_$97__0
Observation_$96_97,decoy_$97__1
Observation_$98_98,decoy_$99__0
Observation_$98_99,decoy_$99__1
Observation_$100_100,decoy_$101__0
Observation_$100_101,decoy_$101__1
Observation_$102_102,decoy_$103__0
Observation_$102_103,decoy_$103__1
Observation_$104_104,decoy_$105__0
Observation_$104_105,decoy_$105__1
Observation_$106_106,decoy_$107__0
Observation_$106_107,decoy_$107__1
Observation_$108_108,decoy_$109__0
Observation_$108_109,decoy_$109__1
Observation_$110_110,decoy_$111__0
Observation_$110_111,decoy_$111__1
Observation_$112_112,decoy_$113__0
Observation_$112_113,decoy_$113__1
Observation_$114_114,decoy_$115__0
Observation_$114_115,decoy_$115__1
Observation_$116_116,decoy_$117__0
Observation_$116_117,decoy_$117__1
Observation_$118_118,decoy_$119__0
Observation_$118_119,decoy_$119__1
Observation_$120_120,decoy_$121__0
Observation_$120_121,decoy_$121__1
Observation_$122_122,decoy_$123__0
Observation_$122_123,decoy_$123__1
Observation_$124_124,decoy_$125__0
Observation_$124_125,decoy_$125__1
Observation_$126_126,decoy_$127__0
Observation_$126_127,decoy_$127__1
Observation_$128_128,decoy_$129__0
Observation_$128_129,decoy_$129__1
Observation_$130_130,decoy_$131__0
Observation_$130_131,decoy_$131__1
Observation_$132_132,decoy_$133__0
Observation_$132_133,decoy_$133__1
Observation_$134_134,decoy_$135__0
Observation_$134_135,decoy_$135__1
Observation_$136_136,decoy_$137__0
Observation_$136_137,decoy_$137__1
Observation_$138_138,decoy_$139__0
Observation_$138_139,decoy_$139__1
Observation_$140_140,decoy_$141__0
Observation_$140_141,decoy_$141__1
Observation_$142_142,decoy_$143__0
Observation_$142_143,decoy_$143__1
Observation_$144_144,decoy_$145__0
Observation_$144_145,decoy_$145__1
Observation_$146_146,decoy_$147__0
Observation_$146_147,decoy_$147__1
Observation_$148_148,decoy_$149__0
Observation_$148_149,decoy_$149__1
Observation_$150_150,decoy_$151__0
Observation_$150_151,decoy_$151__1
Observation_$152_152,decoy_$153__0
Observation_$152_153,decoy_$153__1
Observation_$154_154,decoy_$155__0
Observation_$154_155,decoy_$155__1
Observation_$156_156,decoy_$157__0
Observation_$156_157,decoy_$157__1
Observation_$158_158,decoy_$159__0
Observation_$158_159,decoy_$159__1
Observation_$160_160,decoy_$161__0
Observation_$160_161,decoy_$161__1
Observation_$162_162,decoy_$163__0
Observation_$162_163,decoy_$163__1
Observation_$164_164,decoy_$165__0
Observation_$164_165,decoy_$165__1
Observation_$166_166,decoy_$167__0
Observation_$166_167,decoy_$167__1
Observation_$168_168,decoy_$169__0
Observation_$168_169,decoy_$169__1
Observation_$170_170,decoy_$171__0
Observation_$170_171,decoy_$171__1
Observation_$172_172,decoy_$173__0
Observation_$172_173,decoy_$173__1
Observation_$174_174,decoy_$175__0
Observation_$174_175,decoy_$175__1
Observation_$176_176,decoy_$177__0
Observation_$176_177,decoy_$177__1
Observation_$178_178,decoy_$179__0
Observation_$178_179,decoy_$179__1
Observation_$180_180,decoy_$181__0
Observation_$180_181,decoy_$181__1
Observation_$182_182,decoy_$183__0
Observation_$182_183,decoy_$183__1
Observation_$184_184,decoy_$185__0
Observation_$184_185,decoy_$185__1
Observation_$186_186,decoy_$187__0
Observation_$186_187,decoy_$187__1
Observation_$188_188,decoy_$189__0
Observation_$188_189,decoy_$189__1
Observation_$190_190,decoy_$191__0
Observation_$190_191,decoy_$191__1
Observation_$192_192,decoy_$193__0
Observation_$192_193,decoy_$193__1
Observation_$194_194,decoy_$195__0
Observation_$194_195,decoy_$195__1
Observation_$196_196,decoy_$197__0
Observation_$196_197,decoy_$197__1
Observation_$198_198,decoy_$199__0
Observation_$198_199,decoy_$199__1
Observation_$200_200,decoy_$201__0
Observation_$200_201,decoy_$201__1
Observation_$202_202,decoy_$203__0
Observation_$202_203,decoy_$203__1
Observation_$204_204,decoy_$205__0
Observation_$204_205,decoy_$205__1
Observation_$206_206,decoy_$207__0
Observation_$206_207,decoy_$207__1
Observation_$208_208,decoy_$209__0
Observation_$208_209,decoy_$209__1
Observation_$210_210,decoy_$211__0
Observation_$210_211,decoy_$211__1
Observation_$212_212,decoy_$213__0
Observation_$212_213,decoy_$213__1
Observation_$214_214,decoy_$215__0
Observation_$214_215,decoy_$215__1
Observation_$216_216,decoy_$217__0
Observation_$216_217,decoy_$217__1
Observation_$218_218,decoy_$219__0
Observation_$218_219,decoy_$219__1
